Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
12668,DAVITA HENRY COUNTY DIALYSIS,Profit,DAVITA,10,Not Available,17,24,171,23,163,As Expected,As Expected,As Expected,21,24,90,As Expected,As Expected,23,23,168,0,,Not Available,As Expected
12669,DAVITA MONARCH DIALYSIS,Profit,DAVITA,22,As Expected,81,115,1038,115,1015,Worse than Expected,As Expected,As Expected,90,159,339,As Expected,As Expected,120,120,1063,0,,As Expected,As Expected
12670,DAVITA RED MOUNTAIN HT AT HOME,Profit,DAVITA,10,As Expected,103,172,1552,182,1625,As Expected,As Expected,As Expected,114,93,501,Not Available,As Expected,16,16,143,0,,As Expected,As Expected
12665,DAVITA BREWTON DIALYSIS,Profit,DAVITA,10,As Expected,21,33,275,37,281,As Expected,As Expected,As Expected,26,20,119,As Expected,As Expected,30,30,221,0,,Not Available,As Expected
12672,"FRESENIUS MEDICAL CARE WEST MADISON, LLC",Profit,FRESENIUS MEDICAL CARE,21,As Expected,49,72,642,77,656,As Expected,As Expected,As Expected,58,62,214,Better than Expected,As Expected,76,76,664,0,,Better than Expected,As Expected
12673,DAVITA HOME OPTIONS OF DOTHAN (PD),Profit,DAVITA,3,As Expected,41,62,450,62,477,As Expected,As Expected,As Expected,47,33,153,Not Available,Not Available,4,4,32,0,,Not Available,As Expected
12674,"BIO MEDICAL APPLICATIONS OF ALABAMA, INC",Profit,FRESENIUS MEDICAL CARE,15,As Expected,30,43,356,44,358,As Expected,As Expected,As Expected,35,22,130,As Expected,As Expected,42,42,347,0,,Not Available,As Expected
12676,DAVITA GREYSTONE DIALYSIS,Profit,DAVITA,11,As Expected,30,46,401,47,410,As Expected,As Expected,As Expected,36,44,145,As Expected,As Expected,48,48,427,0,,As Expected,As Expected
12606,FMC CHASE,Profit,FRESENIUS MEDICAL CARE,25,Worse than Expected,79,112,1077,116,1090,As Expected,As Expected,As Expected,101,128,419,Better than Expected,As Expected,118,118,1081,0,,As Expected,As Expected
12607,ROANOKE DIALYSIS CLINIC,Profit,FRESENIUS MEDICAL CARE,13,As Expected,39,48,435,51,449,As Expected,As Expected,As Expected,39,28,161,As Expected,As Expected,51,51,451,0,,Not Available,As Expected
12608,RCG ONEONTA,Profit,FRESENIUS MEDICAL CARE,12,As Expected,29,46,411,53,444,As Expected,As Expected,As Expected,33,40,136,As Expected,As Expected,52,52,446,0,,Not Available,As Expected
12609,DAVITA EUFAULA DIALYSIS,Profit,DAVITA,12,As Expected,34,46,419,47,436,As Expected,As Expected,As Expected,41,27,197,As Expected,As Expected,48,48,440,0,,As Expected,As Expected
12610,FMC MAGNOLIA,Profit,FRESENIUS MEDICAL CARE,20,As Expected,56,84,773,92,806,As Expected,As Expected,As Expected,66,86,292,As Expected,As Expected,92,92,805,1,9,As Expected,As Expected
12611,FMC DALLAS COUNTY,Profit,FRESENIUS MEDICAL CARE,21,As Expected,57,71,761,74,760,As Expected,As Expected,As Expected,66,95,250,As Expected,As Expected,75,75,763,0,,As Expected,As Expected
12612,FMC GARDENDALE,Profit,FRESENIUS MEDICAL CARE,23,As Expected,53,81,678,89,704,As Expected,As Expected,As Expected,62,67,237,As Expected,As Expected,89,89,718,0,,As Expected,As Expected
12613,FMC DISCOVERY,Profit,FRESENIUS MEDICAL CARE,20,Worse than Expected,50,66,581,66,574,As Expected,As Expected,As Expected,60,57,281,As Expected,As Expected,68,68,597,0,,As Expected,As Expected
12614,FMC VALLEY CREEK,Profit,FRESENIUS MEDICAL CARE,22,As Expected,71,92,911,95,916,As Expected,As Expected,As Expected,78,99,274,As Expected,As Expected,92,92,886,0,,As Expected,As Expected
12615,FMC AUBURN,Profit,FRESENIUS MEDICAL CARE,20,Worse than Expected,75,104,991,109,1040,As Expected,Better than Expected,Better than Expected,81,63,304,As Expected,Better than Expected,109,109,1036,0,,As Expected,As Expected
12616,LANDMARK DIALYSIS,Non-Profit,FRESENIUS MEDICAL CARE,30,Worse than Expected,48,72,565,80,628,As Expected,As Expected,Worse than Expected,55,62,230,As Expected,As Expected,79,79,613,0,,As Expected,As Expected
12617,FMC ALEXANDER CITY,Profit,FRESENIUS MEDICAL CARE,23,Worse than Expected,78,103,944,105,995,As Expected,As Expected,As Expected,93,63,331,As Expected,As Expected,96,96,893,0,,As Expected,As Expected
12618,RRC NORTHRIDGE,Profit,INDEPENDENT,24,As Expected,103,134,1227,141,1254,As Expected,As Expected,Worse than Expected,113,124,435,Better than Expected,Worse than Expected,81,81,776,0,,As Expected,As Expected
12619,GBR LLC,Profit,INDEPENDENT,0,As Expected,45,60,572,64,594,As Expected,As Expected,As Expected,45,37,212,Not Available,Not Available,0,0,,0,,As Expected,As Expected
12620,HOME DIALYSIS OF NORTH ALABAMA,Profit,INDEPENDENT,1,Worse than Expected,34,45,326,47,347,As Expected,Worse than Expected,As Expected,38,29,156,Not Available,Not Available,0,0,,0,,Not Available,As Expected
12621,RAI-SNOW ST-OXFORD,Profit,FRESENIUS MEDICAL CARE,25,Worse than Expected,51,70,607,70,606,As Expected,As Expected,Worse than Expected,66,86,361,As Expected,As Expected,73,73,637,0,,As Expected,As Expected
22510,TUDOR DIALYSIS,Profit,FRESENIUS MEDICAL CARE,7,As Expected,24,34,264,41,284,As Expected,As Expected,Better than Expected,26,19,74,As Expected,As Expected,41,41,286,0,,Not Available,As Expected
32302,032302 MARICOPA MEDICAL CTR - DIALYSIS,Non-Profit,INDEPENDENT,11,Not Available,15,28,224,29,228,As Expected,Not Available,As Expected,15,8,54,As Expected,As Expected,32,32,235,0,,As Expected,As Expected
32314,032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,Non-Profit,INDEPENDENT,6,Not Available,2,3,32,4,37,As Expected,As Expected,Not Available,16,15,68,As Expected,Not Available,1,1,3,21,146,As Expected,As Expected
32315,032315 GILA RIVER DIALYSIS EAST,Non-Profit,INDEPENDENT,40,As Expected,121,163,1523,164,1530,As Expected,As Expected,As Expected,128,125,507,As Expected,Better than Expected,165,165,1579,0,,Worse than Expected,As Expected
32316,032316 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATIENT DIALYSIS UNIT,Non-Profit,INDEPENDENT,4,Not Available,0,1,3,1,5,Not Available,Not Available,Not Available,1,2,11,Not Available,Not Available,1,1,5,7,40,Not Available,Not Available
32500,DAVITA TUCSON WEST DIALYSIS,Profit,DAVITA,35,As Expected,73,124,1094,127,1133,As Expected,As Expected,Worse than Expected,84,109,372,As Expected,As Expected,91,91,827,0,,As Expected,As Expected
32501,DAVITA TUCSON EAST DIALYSIS,Profit,DAVITA,27,As Expected,124,209,1811,212,1825,As Expected,As Expected,Worse than Expected,141,175,646,Better than Expected,As Expected,179,179,1544,0,,As Expected,As Expected
32502,DAVITA YUMA DIALYSIS,Profit,DAVITA,30,As Expected,224,289,2700,305,2843,Better than Expected,As Expected,As Expected,237,136,887,As Expected,As Expected,230,230,2141,0,,As Expected,As Expected
32503,032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),Profit,FRESENIUS MEDICAL CARE,21,As Expected,57,103,867,107,915,As Expected,As Expected,Worse than Expected,69,69,265,As Expected,As Expected,108,108,923,0,,As Expected,As Expected
32506,DAVITA TUBA CITY DIALYSIS,Profit,DAVITA,26,As Expected,120,138,1362,140,1336,As Expected,As Expected,Better than Expected,126,112,496,As Expected,As Expected,112,112,1058,0,,As Expected,As Expected
32508,032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),Profit,FRESENIUS MEDICAL CARE,18,As Expected,58,105,895,107,905,As Expected,As Expected,Worse than Expected,67,75,296,Better than Expected,As Expected,112,112,940,0,,As Expected,As Expected
32509,032509 EAST VALLEY DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,36,As Expected,133,212,1497,223,1600,As Expected,As Expected,Worse than Expected,168,195,632,As Expected,As Expected,222,222,1585,0,,As Expected,As Expected
32513,DAVITA SELLS DIALYSIS,Profit,DAVITA,20,As Expected,89,137,1436,135,1361,As Expected,As Expected,Better than Expected,96,77,359,As Expected,As Expected,138,138,1451,0,,As Expected,Worse than Expected
32514,032514 DESERT DIALYSIS CENTER (DCI),Non-Profit,"DIALYSIS CLINIC, INC.",19,As Expected,46,89,728,94,727,As Expected,As Expected,As Expected,60,74,253,As Expected,As Expected,61,61,507,0,,As Expected,As Expected
32516,032516 CHANDLER DIALYSIS (FMC),Profit,RENAL CARE GROUP INC.,24,As Expected,72,129,1056,143,1102,As Expected,As Expected,As Expected,98,109,373,Better than Expected,As Expected,143,143,1115,0,,As Expected,As Expected
32517,032517 CENTRAL PHX DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,16,As Expected,49,92,803,94,808,As Expected,As Expected,Worse than Expected,55,69,246,Better than Expected,As Expected,96,96,819,0,,As Expected,As Expected
12671,"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC",Profit,FRESENIUS MEDICAL CARE,0,Worse than Expected,95,142,1114,151,1171,As Expected,As Expected,As Expected,110,87,434,Not Available,As Expected,29,29,203,0,,Better than Expected,As Expected
12641,DCI EVERGREEN,Non-Profit,"DIALYSIS CLINIC, INC.",10,As Expected,15,21,211,21,211,As Expected,As Expected,As Expected,19,21,103,As Expected,As Expected,21,21,213,0,,Not Available,As Expected
12642,DAVITA ENTERPRISE DIALYSIS,Profit,DAVITA,16,As Expected,36,49,397,48,406,As Expected,As Expected,As Expected,39,30,167,As Expected,As Expected,50,50,413,0,,Not Available,As Expected
12643,ENDEAVOR DIALYSIS,Profit,FRESENIUS MEDICAL CARE,15,As Expected,53,77,753,76,769,As Expected,As Expected,As Expected,57,55,265,As Expected,As Expected,77,77,779,0,,As Expected,As Expected
12644,DAVITA JEWEL DIALYSIS,Profit,DAVITA,10,As Expected,27,41,414,41,414,As Expected,As Expected,As Expected,31,18,127,As Expected,As Expected,41,41,415,0,,Not Available,As Expected
12645,"RENAL TREATMENT CENTERS- SOUTHEAST, LP",Profit,DAVITA,18,As Expected,62,87,879,89,885,As Expected,As Expected,As Expected,65,46,262,As Expected,As Expected,90,90,888,0,,As Expected,As Expected
12646,DAVITA STEEL CITY DIALYSIS,Profit,DAVITA,10,As Expected,24,39,329,41,344,As Expected,As Expected,As Expected,28,30,93,As Expected,As Expected,41,41,350,0,,Not Available,As Expected
12647,DAVITA CROWN DIALYSIS,Profit,DAVITA,14,As Expected,31,48,446,50,464,As Expected,As Expected,As Expected,34,32,117,As Expected,As Expected,49,49,470,0,,As Expected,As Expected
12648,"FRESENIUS KIDNEY CARE GADSDEN ACQ, LLC",Profit,FRESENIUS MEDICAL CARE,22,Worse than Expected,87,116,1096,124,1137,As Expected,As Expected,As Expected,96,141,408,Worse than Expected,As Expected,99,99,873,0,,As Expected,As Expected
12649,"FRESENIUS KIDNEY CARE UNION SPRINGS, LLC",Profit,FRESENIUS MEDICAL CARE,9,As Expected,45,60,541,63,530,As Expected,As Expected,As Expected,51,47,181,As Expected,As Expected,46,46,381,0,,As Expected,As Expected
12650,DAVITA LIMESTONE COUNTY DIALYSIS,Profit,DAVITA,10,As Expected,35,48,396,49,390,As Expected,As Expected,As Expected,39,40,137,As Expected,As Expected,46,46,370,0,,Not Available,As Expected
12651,FMC FORESTDALE,Profit,FRESENIUS MEDICAL CARE,14,Worse than Expected,45,67,672,70,681,As Expected,As Expected,As Expected,49,75,190,As Expected,Worse than Expected,70,70,685,0,,Not Available,As Expected
12652,DAVITA LEEDS DIALYSIS,Profit,DAVITA,10,As Expected,23,32,290,34,299,As Expected,As Expected,Worse than Expected,25,22,115,As Expected,As Expected,34,34,302,0,,Not Available,As Expected
12653,"FRESENIUS KIDNEY CARE PHENIX CITY, LLC",Profit,INDEPENDENT,10,As Expected,44,61,525,62,554,As Expected,As Expected,As Expected,52,51,207,As Expected,As Expected,45,45,361,0,,As Expected,As Expected
12654,BIO-MEDICAL APPLICATIONS OF ALABAMA,Profit,FRESENIUS MEDICAL CARE,25,As Expected,75,110,1049,115,1062,As Expected,As Expected,As Expected,84,81,335,As Expected,As Expected,116,116,1089,0,,As Expected,As Expected
12655,DAVITA ANDALUSIA DIALYSIS,Profit,"RTC-SOUTHEAST, LP",10,Not Available,15,22,198,22,202,As Expected,As Expected,As Expected,18,24,69,As Expected,As Expected,21,21,181,0,,Not Available,As Expected
12656,DCI MITYLENE PARK,Non-Profit,"DIALYSIS CLINIC, INC.",17,As Expected,43,66,631,67,639,As Expected,As Expected,Better than Expected,48,47,192,Better than Expected,As Expected,66,66,641,0,,As Expected,As Expected
12657,"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC",Profit,FRESENIUS MEDICAL CARE,17,Worse than Expected,158,251,1941,282,2097,As Expected,Worse than Expected,As Expected,173,155,613,Not Available,As Expected,20,20,173,0,,As Expected,As Expected
12658,DAVITA SPRINGVILLE DIALYSIS,Profit,DAVITA,10,Not Available,9,15,137,16,147,Not Available,Not Available,Worse than Expected,9,2,58,As Expected,As Expected,16,16,148,0,,Not Available,Worse than Expected
22508,FMC SOLDOTNA,Profit,FRESENIUS MEDICAL CARE,12,As Expected,19,28,217,31,234,As Expected,As Expected,As Expected,26,13,112,As Expected,As Expected,32,32,235,0,,Not Available,As Expected
22509,DENALI DIALYSIS CENTER,Profit,"US RENAL CARE, INC.",24,As Expected,129,165,1493,173,1530,As Expected,As Expected,Better than Expected,140,116,476,Worse than Expected,As Expected,128,128,1151,0,,As Expected,As Expected
12710,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",Profit,FRESENIUS MEDICAL CARE,1,Not Available,5,7,12,6,6,Not Available,Not Available,Not Available,5,2,5,Not Available,Not Available,7,7,12,0,,Not Available,Not Available
22500,FMC ANCHORAGE,Profit,FRESENIUS MEDICAL CARE,35,As Expected,99,130,1230,131,1217,As Expected,As Expected,As Expected,114,106,474,As Expected,As Expected,116,116,1099,0,,Not Available,As Expected
22502,FMC FAIRBANKS,Profit,FRESENIUS MEDICAL CARE,17,Worse than Expected,44,65,595,65,626,Better than Expected,As Expected,As Expected,54,24,192,Better than Expected,As Expected,63,63,612,0,,Not Available,As Expected
22503,FMC WASILLA,Profit,FRESENIUS MEDICAL CARE,12,As Expected,38,72,489,73,497,As Expected,Better than Expected,As Expected,52,41,192,Better than Expected,As Expected,64,64,499,1,7,As Expected,As Expected
22504,REIFENSTEIN DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,9,As Expected,18,27,230,28,241,As Expected,As Expected,As Expected,22,14,90,As Expected,As Expected,26,26,235,0,,Not Available,As Expected
32547,032547 SUN CITY DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,12,As Expected,32,61,520,64,542,As Expected,As Expected,Better than Expected,45,61,184,As Expected,As Expected,64,64,545,0,,Not Available,As Expected
32549,032549 SAFFORD DIALYSIS (FMC),Profit,RENAL CARE GROUP INC.,16,As Expected,61,94,852,96,869,As Expected,Better than Expected,Worse than Expected,68,68,271,Better than Expected,As Expected,88,88,776,0,,As Expected,As Expected
32550,032550 NORTH PHOENIX DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,19,As Expected,78,162,1352,166,1363,As Expected,As Expected,As Expected,102,107,476,As Expected,As Expected,137,137,1183,0,,As Expected,As Expected
32559,DAVITA KAYENTA DIALYSIS,Profit,DAVITA,18,As Expected,51,63,491,66,504,As Expected,As Expected,As Expected,54,55,206,Better than Expected,As Expected,65,65,504,0,,As Expected,As Expected
32561,032561 CASA GRANDE DIALYSIS (FMC),Profit,RENAL CARE GROUP INC.,16,As Expected,124,210,1756,212,1816,As Expected,As Expected,As Expected,148,175,604,As Expected,Better than Expected,192,192,1652,0,,Worse than Expected,As Expected
32562,DAVITA COTTONWOOD DIALYSIS,Profit,DAVITA,10,As Expected,42,73,612,78,618,As Expected,As Expected,As Expected,48,54,178,As Expected,As Expected,77,77,654,0,,As Expected,As Expected
32563,032563 SCOTTSDALE DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,12,As Expected,42,80,660,79,654,As Expected,As Expected,As Expected,51,48,227,As Expected,As Expected,81,81,678,0,,As Expected,As Expected
32564,032564 MARYVALE DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,28,As Expected,91,154,1466,158,1458,As Expected,As Expected,As Expected,102,99,405,As Expected,As Expected,159,159,1480,0,,As Expected,As Expected
32565,032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI),Non-Profit,"DIALYSIS CLINIC, INC.",25,As Expected,46,73,686,77,703,As Expected,As Expected,As Expected,52,42,211,Better than Expected,As Expected,77,77,709,0,,As Expected,As Expected
32568,032568 RED MOUNTAIN DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,13,As Expected,59,89,698,92,756,Worse than Expected,As Expected,Worse than Expected,64,86,249,Better than Expected,As Expected,91,91,760,0,,As Expected,As Expected
32571,032571 NORTH SCOTTSDALE DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,13,As Expected,101,159,1246,161,1249,As Expected,As Expected,As Expected,126,138,484,Better than Expected,As Expected,143,143,1098,0,,Better than Expected,As Expected
32572,DAVITA DESERT DIALYSIS,Profit,DAVITA,20,As Expected,58,108,882,117,880,As Expected,As Expected,As Expected,79,86,338,As Expected,As Expected,117,117,925,0,,As Expected,As Expected
32573,DAVITA PASCUA YAQUI TRIBE DIALYSIS,Profit,DAVITA,13,As Expected,41,56,468,62,498,As Expected,As Expected,As Expected,45,38,177,As Expected,As Expected,62,62,512,0,,As Expected,As Expected
32575,032575 SHOW LOW DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,12,As Expected,75,117,1149,116,1146,As Expected,Better than Expected,As Expected,96,74,402,Worse than Expected,As Expected,101,101,1015,0,,Not Available,As Expected
32577,032577 YAVAPAI DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,16,As Expected,81,138,1138,143,1184,As Expected,As Expected,As Expected,102,106,445,As Expected,As Expected,116,116,921,0,,As Expected,As Expected
22506,LIBERTY DIALYSIS - ALASKA LLC,Profit,"US RENAL CARE, INC.",18,As Expected,159,202,1907,207,1892,Better than Expected,As Expected,Better than Expected,179,130,650,Better than Expected,As Expected,142,142,1249,0,,Better than Expected,As Expected
22507,FMC COOK INLET,Profit,FRESENIUS MEDICAL CARE,12,As Expected,37,59,410,60,429,As Expected,As Expected,As Expected,43,19,118,As Expected,As Expected,37,37,270,0,,Not Available,As Expected
32543,DAVITA NOGALES DIALYSIS,Profit,DAVITA,13,As Expected,64,94,950,98,968,As Expected,As Expected,As Expected,64,73,257,Better than Expected,As Expected,99,99,994,0,,Not Available,As Expected
32544,032544 LAKE HAVASU DIALYSIS (FMC),Profit,RENAL CARE GROUP INC.,12,As Expected,98,138,908,145,944,As Expected,As Expected,As Expected,121,81,377,As Expected,As Expected,128,128,827,0,,As Expected,As Expected
32545,032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),Profit,FRESENIUS MEDICAL CARE,17,As Expected,74,148,1280,156,1308,As Expected,As Expected,As Expected,93,109,377,Better than Expected,As Expected,157,157,1345,0,,As Expected,As Expected
32546,032546 SUN CITY WEST DIALYSIS (FMC),Profit,FRESENIUS MEDICAL CARE,18,As Expected,36,57,406,58,422,As Expected,As Expected,As Expected,47,45,141,As Expected,As Expected,59,59,429,0,,Not Available,As Expected
12693,DAVITA SPRINGS DIALYSIS,Profit,DAVITA,16,As Expected,49,68,611,76,650,As Expected,Better than Expected,As Expected,54,44,110,As Expected,As Expected,64,64,520,0,,Not Available,As Expected
12694,DAVITA COLONEL DIALYSIS,Profit,DAVITA,10,Not Available,15,21,170,23,178,As Expected,As Expected,As Expected,17,23,40,As Expected,As Expected,23,23,179,0,,Not Available,As Expected
12695,BIO MEDICAL APPLICATIONS OF ALABAMA,Profit,FRESENIUS MEDICAL CARE,16,As Expected,27,35,246,37,265,As Expected,As Expected,As Expected,34,37,87,As Expected,As Expected,38,38,271,0,,Not Available,As Expected
12696,BIO-MEDICAL APPLICATIONS OF ALABAMA,Profit,FRESENIUS MEDICAL CARE,17,As Expected,43,55,549,57,554,As Expected,As Expected,As Expected,51,70,111,As Expected,As Expected,58,58,558,0,,Not Available,As Expected
